stop_name,latitude,longitude
5th / Colorado,  34.013884,-118.490199
5th / Colorado,  34.014736,-118.491174
5th / Santa Monica,  34.017546,-118.494490
Wilshire / 6th,  34.020481,-118.496432
Wilshire / Lincoln,  34.022287,-118.494159
Wilshire / 11th,  34.024314,-118.491705
Wilshire / 14th,  34.026791,-118.488659
Wilshire / 17th,  34.029103,-118.485793
Wilshire / 20th,  34.031177,-118.483224
Wilshire / 23rd,  34.033441,-118.480415
Wilshire / 26th,  34.036032,-118.477218
Wilshire / Yale,  34.038318,-118.474422
Wilshire / Berkeley,  34.039572,-118.472881
Wilshire / McClellan,  34.042140,-118.469674
Wilshire / Bundy,  34.043849,-118.467558
Wilshire / Brockton,  34.045743,-118.465228
Wilshire / Westgate,  34.047118,-118.463539
Wilshire / Barrington,  34.049274,-118.460943
Wilshire / Federal,  34.050594,-118.459230
Wilshire / Bonsall,  34.054401,-118.455164
Wilshire / Veteran,  34.057616,-118.447888
Le Conte / Broxton,  34.063594,-118.446732
Le Conte / Westwood,  34.063623,-118.445005
Le Conte / Tiverton,  34.063664,-118.442602
Hilgard / Le Conte,  34.064259,-118.440904
Hilgard / Manning,  34.066476,-118.439579
Hilgard / Westholme,  34.069443,-118.438855
Hilgard / Wyton,  34.074390,-118.437923
Hilgard / Charing Cross,  34.077648,-118.438891
Sunset / Beverly Glen,  34.080565,-118.435482
Sunset / Charing Cross,  34.079375,-118.430126
Sunset / Carolwood,  34.080699,-118.426361
Sunset / Copley,  34.077629,-118.422036
Sunset / Whittier,  34.077034,-118.420045
Sunset / Bedford,  34.078311,-118.417119
Sunset / Rodeo,  34.079881,-118.414247
Sunset / Beverly,  34.081237,-118.412226
Sunset / Rexford,  34.082943,-118.410131
Sunset / Alpine,  34.085066,-118.407971
Sunset / Foothill,  34.086113,-118.406431
Sunset / Maple,  34.086417,-118.402565
Sunset / Hillcrest,  34.087332,-118.398398
Division 13 Layover,  34.056702,-118.230819
Patsaouras Transit Plaza,  34.055394,-118.233118
Cesar E Chavez / Alameda,  34.058127,-118.236685
Spring / Temple,  34.055101,-118.242543
Spring / 1st,  34.052758,-118.244738
Spring / 3rd,  34.049661,-118.247621
Spring / 6th,  34.046112,-118.250908
Spring / 7th,  34.043972,-118.252932
Main / 9th,  34.041362,-118.255611
Main / 11th,  34.039265,-118.258176
Main / Pico,  34.036791,-118.260178
17th / Broadway,  34.033624,-118.264258
Venice / Hill,  34.034885,-118.264592
Venice / Grand,  34.035744,-118.266133
Venice / Hope,  34.036598,-118.267674
Venice / Figueroa,  34.037902,-118.270876
Venice / Oak,  34.039942,-118.275332
Venice / Union,  34.041566,-118.278916
Venice / Burlington,  34.042350,-118.280641
Venice / Hoover,  34.043701,-118.283630
Venice / Magnolia,  34.044387,-118.286530
Alameda / 6th Layover,  34.036923,-118.238629
Central / 6th,  34.039201,-118.239787
5th / San Pedro,  34.044397,-118.244139
5th / Main,  34.046606,-118.248203
5th / Broadway,  34.048354,-118.250875
5th / Grand,  34.050463,-118.254137
6th / Witmer,  34.055547,-118.265321
Wilshire / Alvarado,  34.057888,-118.275348
Wilshire / Coronado,  34.060696,-118.281492
Wilshire / Vermont,  34.061934,-118.291299
Wilshire / Normandie,  34.061882,-118.300200
Wilshire / Western,  34.061836,-118.308745
Wilshire / Crenshaw,  34.061879,-118.319614
Wilshire / La Brea,  34.062393,-118.344366
Wilshire / Cloverdale,  34.062418,-118.346330
Wilshire / Fairfax,  34.063089,-118.361141
Wilshire / Crescent Heights,  34.063501,-118.364924
Wilshire / Willaman,  34.066347,-118.380267
Wilshire / Robertson,  34.067186,-118.384269
Wilshire / Rexford,  34.067201,-118.394317
Wilshire / Rodeo,  34.067217,-118.401820
Broadway / Venice,  34.033969,-118.263539
Broadway / Pico,  34.036907,-118.261152
Broadway / 12th,  34.037961,-118.260255
Broadway / Olympic,  34.041494,-118.256654
Broadway / 8th,  34.043042,-118.255203
Broadway / 7th,  34.045509,-118.252927
Broadway / 5th,  34.048187,-118.250466
Broadway / 2nd,  34.052206,-118.246653
Broadway / 1st,  34.053969,-118.244999
Broadway / Arcadia,  34.056942,-118.242212
Cesar E Chavez / Broadway,  34.058812,-118.240401
Cesar E Chavez / Grand,  34.060901,-118.243980
Sunset / Figueroa,  34.062943,-118.246409
Sunset / Beaudry,  34.065150,-118.248988
Sunset / Marion,  34.068088,-118.249987
Sunset / Vin Scully - Dodger Stadium,  34.072623,-118.250922
Sunset / Douglas,  34.074130,-118.251735
Sunset / Portia,  34.075518,-118.254144
Sunset / Echo Park,  34.077066,-118.257708
Sunset / Park,  34.078077,-118.261545
Sunset / Alvarado,  34.077662,-118.263989
