trip_id,line_name,scheduled_departure,vehicle_id
T0001,Route 2,2025-10-01 06:00:00,V101
T0002,Route 2,2025-10-01 07:00:00,V102
T0003,Route 2,2025-10-01 08:00:00,V103
T0004,Route 2,2025-10-01 09:00:00,V104
T0005,Route 2,2025-10-01 10:00:00,V105
T0006,Route 2,2025-10-01 11:00:00,V106
T0007,Route 2,2025-10-01 12:00:00,V107
T0008,Route 2,2025-10-01 13:00:00,V108
T0009,Route 2,2025-10-01 14:00:00,V109
T0010,Route 2,2025-10-01 15:00:00,V110
T0011,Route 2,2025-10-01 16:00:00,V111
T0012,Route 2,2025-10-01 17:00:00,V112
T0013,Route 2,2025-10-01 18:00:00,V113
T0014,Route 2,2025-10-01 19:00:00,V114
T0015,Route 2,2025-10-01 20:00:00,V115
T0016,Route 4,2025-10-01 06:00:00,V116
T0017,Route 4,2025-10-01 07:00:00,V117
T0018,Route 4,2025-10-01 08:00:00,V118
T0019,Route 4,2025-10-01 09:00:00,V119
T0020,Route 4,2025-10-01 10:00:00,V120
T0021,Route 4,2025-10-01 11:00:00,V121
T0022,Route 4,2025-10-01 12:00:00,V122
T0023,Route 4,2025-10-01 13:00:00,V123
T0024,Route 4,2025-10-01 14:00:00,V124
T0025,Route 4,2025-10-01 15:00:00,V125
T0026,Route 4,2025-10-01 16:00:00,V126
T0027,Route 4,2025-10-01 17:00:00,V127
T0028,Route 4,2025-10-01 18:00:00,V128
T0029,Route 4,2025-10-01 19:00:00,V129
T0030,Route 4,2025-10-01 20:00:00,V130
T0031,Route 20,2025-10-01 06:00:00,V131
T0032,Route 20,2025-10-01 07:00:00,V132
T0033,Route 20,2025-10-01 08:00:00,V133
T0034,Route 20,2025-10-01 09:00:00,V134
T0035,Route 20,2025-10-01 10:00:00,V135
T0036,Route 20,2025-10-01 11:00:00,V136
T0037,Route 20,2025-10-01 12:00:00,V137
T0038,Route 20,2025-10-01 13:00:00,V138
T0039,Route 20,2025-10-01 14:00:00,V139
T0040,Route 20,2025-10-01 15:00:00,V140
T0041,Route 20,2025-10-01 16:00:00,V141
T0042,Route 20,2025-10-01 17:00:00,V142
T0043,Route 20,2025-10-01 18:00:00,V143
T0044,Route 20,2025-10-01 19:00:00,V144
T0045,Route 20,2025-10-01 20:00:00,V145
T0046,Route 33,2025-10-01 06:00:00,V146
T0047,Route 33,2025-10-01 07:00:00,V147
T0048,Route 33,2025-10-01 08:00:00,V148
T0049,Route 33,2025-10-01 09:00:00,V149
T0050,Route 33,2025-10-01 10:00:00,V100
T0051,Route 33,2025-10-01 11:00:00,V101
T0052,Route 33,2025-10-01 12:00:00,V102
T0053,Route 33,2025-10-01 13:00:00,V103
T0054,Route 33,2025-10-01 14:00:00,V104
T0055,Route 33,2025-10-01 15:00:00,V105
T0056,Route 33,2025-10-01 16:00:00,V106
T0057,Route 33,2025-10-01 17:00:00,V107
T0058,Route 33,2025-10-01 18:00:00,V108
T0059,Route 33,2025-10-01 19:00:00,V109
T0060,Route 33,2025-10-01 20:00:00,V110
T0061,Route 720,2025-10-01 06:00:00,V111
T0062,Route 720,2025-10-01 07:00:00,V112
T0063,Route 720,2025-10-01 08:00:00,V113
T0064,Route 720,2025-10-01 09:00:00,V114
T0065,Route 720,2025-10-01 10:00:00,V115
T0066,Route 720,2025-10-01 11:00:00,V116
T0067,Route 720,2025-10-01 12:00:00,V117
T0068,Route 720,2025-10-01 13:00:00,V118
T0069,Route 720,2025-10-01 14:00:00,V119
